model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,8,0.258,0.4745123553383256,0.5143853530950305,0.0,0.0,0.9180470793374019,2124019,7177.534248426971
llama3.2:1b,0,0.57,0.6349826035016647,0.5823888404533566,0.0,0.0,0.9215344376634699,1241598,1899.0776854953428
qwen2.5:1.5b,1,0.527,0.7513135985018424,0.6739319965126417,0.0,0.0,0.967741935483871,1344603,2224.4366543197416
llama3.2:3b,10,0.829,0.8339788228803919,0.8282476024411508,0.0,0.0,1.0,2397182,2521.059290349924
qwen2.5:3b,8,1.547,0.9106537287895762,0.8945074106364429,0.0,0.0,0.995640802092415,2123959,1196.9951685321705
qwen2.5:7b,10,1.76,0.9250066630976738,0.918918918918919,0.0,0.0,0.999128160418483,2410042,1193.8465958627248
llama3.1:8b,10,1.461,0.9221122018028491,0.9215344376634699,0.0,0.0,1.0,2396138,1429.875394371652
llama3.2-vision:11b,10,1.696,0.9312053545164901,0.9311246730601569,0.0,0.0,1.0,2396458,1231.9144692470925
qwen2.5:14b,1,28.912,0.9471408016612802,0.9433304272013949,0.0,0.0,1.0,1345706,40.57968165069581
qwen2.5:32b,10,8.131,0.9694548384755698,0.967741935483871,0.0,0.0,1.0,2413086,258.7411005293978
llama3.1:70b,4,12.293,0.9554636671274578,0.95640802092415,0.0,0.0,1.0,1691414,119.95783567330975
llama3.3:70b,4,39.523,0.9589844771752568,0.959895379250218,0.0,0.0,1.0,1692313,37.330806308118824
qwen2.5:72b,8,16.055,0.9658769432663517,0.963382737576286,0.0,0.0,1.0,2127639,115.53783216314234
llama3.2-vision:90b,4,17.379,0.9593418068496501,0.959895379250218,0.0,0.0,1.0,1691400,84.8512266630908
qwen2.5:7b_llama3.1:8b_qwen2.5:3b,28,4.768,0.9411471290544658,0.937227550130776,0.0,0.0,0.999128160418483,2505182,458.07819347817184
llama3.2-vision:11b_qwen2.5:7b_qwen2.5:3b,28,5.003,0.9403817556107735,0.9380993897122929,0.0,0.0,1.0,2504913,436.51455160033885
llama3.2-vision:11b_llama3.1:8b_qwen2.5:3b,28,4.704,0.9378382866977939,0.9363557105492589,0.0,0.0,1.0,2504955,464.26847766133477
qwen2.5:14b_llama3.2-vision:11b_qwen2.5:3b,19,32.155,0.9493563763810178,0.9476896251089799,0.0,0.0,1.0,2505326,67.92854521547696
llama3.2-vision:11b_qwen2.5:7b_llama3.1:8b,30,4.917,0.9396088775689861,0.9389712292938099,0.0,0.0,1.0,2504980,444.1612192207559
qwen2.5:14b_llama3.2-vision:11b_qwen2.5:7b,21,32.368,0.9499177258143198,0.949433304272014,0.0,0.0,1.0,2505321,67.48140176117629
