model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,0.189,0.4024963363853324,0.33217088055797733,0.0,0.0,0.6207497820401047,1214530,5602.514957353666
qwen2.5:0.5b,1,0.194,0.44779417904048435,0.4115082824760244,0.0,0.0,0.897994768962511,1344379,6041.664045155898
qwen2.5:0.5b,2,0.187,0.42109639735016596,0.42981691368788144,0.0,0.0,0.9250217959895379,1476774,6885.080353771056
qwen2.5:0.5b,4,0.196,0.4124491546864606,0.44725370531822145,0.0,0.0,0.9154315605928509,1685816,7498.781203850328
qwen2.5:0.5b,8,0.206,0.4440666699923617,0.4995640802092415,0.0,0.0,0.927637314734089,2123823,8988.509492894083
qwen2.5:0.5b,10,0.218,0.4607762850017359,0.4986922406277245,0.0,0.0,0.9503051438535309,2408392,9631.795749582077
qwen2.5:0.5b-instruct-fp16,0,0.246,0.3614281137033069,0.2946817785527463,0.0,0.0,0.5902353966870095,1215097,4306.380731636436
qwen2.5:0.5b-instruct-fp16,1,0.241,0.3942130836550808,0.3687881429816914,0.0,0.0,0.8840453356582388,1343957,4861.887586957859
qwen2.5:0.5b-instruct-fp16,2,0.247,0.41903434280227636,0.3905841325196164,0.0,0.0,0.8875326939843069,1476683,5212.269994952508
qwen2.5:0.5b-instruct-fp16,4,0.25,0.4216443755825267,0.42284219703574544,0.0,0.0,0.8936355710549259,1686118,5880.09764603313
qwen2.5:0.5b-instruct-fp16,8,0.26,0.4549873892303814,0.47863993025283347,0.0,0.0,0.9032258064516129,2123905,7121.940178391791
qwen2.5:0.5b-instruct-fp16,10,0.269,0.46157056784164735,0.4707933740191805,0.0,0.0,0.934612031386225,2408457,7805.903877255357
llama3.2:1b,0,0.451,0.6334095439163007,0.5850043591979076,0.0,0.0,0.9363557105492589,1241277,2399.544169017025
llama3.2:1b,1,0.489,0.6119200668688299,0.6129032258064516,0.0,0.0,0.9965126416739319,1357061,2419.5081683702306
